185.203.253.124 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:45.0) Gecko/20100101 Firefox/45.0"
104.28.198.246 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:48.0) Gecko/20100101 Firefox/48.0"
185.222.7.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2849.76 Safari/537.36"
185.222.7.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko"
188.175.223.113 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:48.0) Gecko/20100101 Firefox/48.0"
185.222.7.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (Windows NT 6.3; rv:49.0) Gecko/20100101 Firefox/49.0"
185.203.253.124 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686 on x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
188.175.223.113 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.66 Safari/537.36"
195.5.42.171 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 5.1; Win64; x64; Trident/6.0)"
195.5.42.171 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:49.0) Gecko/20100101 Firefox/49.0"
185.222.7.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2687.61 Safari/537.36"
185.222.7.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)"
104.28.198.246 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 2113 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:48.0) Gecko/20100101 Firefox/48.0"
185.222.7.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40272 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2744.25 Safari/537.36"
195.5.42.171 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40272 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:45.0) Gecko/20100101 Firefox/45.0"
195.5.42.171 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40272 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686 on x86_64; rv:49.0) Gecko/20100101 Firefox/49.0"
185.222.7.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:50.0) Gecko/20100101 Firefox/50.0"
188.175.223.113 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0"
37.26.136.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (X11; Linux i686 on x86_64; rv:48.0) Gecko/20100101 Firefox/48.0"
176.106.31.16 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
195.5.42.171 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 5.1; Win64; x64; Trident/6.0)"
176.106.31.16 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; WOW64; Trident/4.0)"
195.5.42.171 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:49.0) Gecko/20100101 Firefox/49.0"
185.222.7.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2849.76 Safari/537.36"
188.11.179.26 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2773.54 Safari/537.36"
185.222.7.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (Windows NT 6.3; rv:49.0) Gecko/20100101 Firefox/49.0"
176.106.31.16 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
185.222.7.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2687.61 Safari/537.36"
31.10.63.224 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 38225 "-" "Mozilla/5.0 (X11; Linux i686 on x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2711.83 Safari/537.36"
87.117.3.23 - - [16/May/2023:04:23:50 +0200] "GET / HTTP/1.1" 200 40338 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
